Position,Player,Matches,Innings,Not_out,Runs,Highest_Score,Average,Balls_faced,Strike_rate,Centuries,Half_centuaries,4's,6's,IPl_team,Role,year
1,Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45,Rajasthan Royals,Batsman,2022
2,K L Rahul,15,15,3,616,103*,51.33,455,135.38,2,4,45,30,Lucknow Super Giants,Batsman,2022
3,Quinton De Kock,15,15,1,508,140*,36.29,341,148.97,1,3,47,23,Lucknow Super Giants,Batsman,2022
4,Hardik Pandya,15,15,4,487,87*,44.27,371,131.26,0,4,49,12,Gujarat Titans,Batsman,2022
5,Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,51,11,Gujarat Titans,Batsman,2022
6,David Miller,16,16,9,481,94*,68.71,337,142.72,0,2,32,23,Gujarat Titans,Batsman,2022
7,Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13,Royal Challengers Bangalore,Batsman,2022
8,Shikhar Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,47,12,Punjab Kings,Batsman,2022
9,Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26,Rajasthan Royals,Batsman,2022
10,Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18,Rajasthan Royals,Batsman,2022
11,Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34,Punjab Kings,Batsman,2022
12,David Warner,12,12,3,432,92*,48,287,150.52,0,5,52,15,Delhi Capitals,Batsman,2022
13,Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13,Chennai Super Kings,Batsman,2022
14,Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,45,11,Mumbai Indians,Batsman,2022
15,Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20,Sunrises Hyderabad,Batsman,2022
16,Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11,Kolkata Knight Riders,Batsman,2022
17,Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16,Mumbai Indians,Batsman,2022
18,Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,19,Sunrises Hyderabad,Batsman,2022
19,Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14,Rajasthan Royals,Batsman,2022
20,Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14,Chennai Super Kings,Batsman,2022
21,Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22,Kolkata Knight Riders,Batsman,2022
22,Virat Kohli,16,16,1,341,73,22.73,294,115.98,0,2,32,8,Royal Challengers Bangalore,Batsman,2022
23,Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16,Delhi Capitals,Batsman,2022
24,Andre Russell,14,12,3,335,70*,37.22,192,174.47,0,1,18,32,Kolkata Knight Riders,Batsman,2022
25,Rajat Patidar,8,7,1,333,112*,55.5,218,152.75,1,2,27,18,Royal Challengers Bangalore,Batsman,2022
